MCS,streams,modulation,coding,channel,800 ns GI ,400 ns GI
0,1,BPSK ,1/2 ,20,6.5,7.2
1,1,QPSK ,1/2 ,20,13,14.4
2,1,QPSK ,3/4 ,20,19.5,21.7
3,1,16-QAM ,1/2 ,20,26,28.9
4,1,16-QAM ,3/4 ,20,39,43.3
5,1,64-QAM ,2/3 ,20,52,57.8
6,1,64-QAM ,3/4 ,20,58.5,65
7,1,64-QAM ,5/6 ,20,65,72.2
8,2,BPSK ,1/2 ,20,13,14.4
9,2,QPSK ,1/2 ,20,26,28.9
10,2,QPSK ,3/4 ,20,39,43.3
11,2,16-QAM ,1/2 ,20,52,57.8
12,2,16-QAM ,3/4 ,20,78,86.7
13,2,64-QAM ,2/3 ,20,104,115.6
14,2,64-QAM ,3/4 ,20,117,130
15,2,64-QAM ,5/6 ,20,130,144.4
16,3,BPSK ,1/2 ,20,19.5,21.7
17,3,QPSK ,1/2 ,20,39,43.3
18,3,QPSK ,3/4 ,20,58.5,65
19,3,16-QAM ,1/2 ,20,78,86.7
20,3,16-QAM ,3/4 ,20,117,130
21,3,64-QAM ,2/3 ,20,156,173.3
22,3,64-QAM ,3/4 ,20,175.5,195
23,3,64-QAM ,5/6 ,20,195,216.7
24,4,BPSK ,1/2 ,20,26,28.8
25,4,QPSK ,1/2 ,20,52,57.6
26,4,QPSK ,3/4 ,20,78,86.8
27,4,16-QAM ,1/2 ,20,104,115.6
28,4,16-QAM ,3/4 ,20,156,173.2
29,4,64-QAM ,2/3 ,20,208,231.2
30,4,64-QAM ,3/4 ,20,234,260
31,4,64-QAM ,5/6 ,20,260,288.8
32,1,BPSK ,1/4 ,20,N/A ,N/A 
0,1,BPSK ,1/2 ,40,13.5,15
1,1,QPSK ,1/2 ,40,27,30
2,1,QPSK ,3/4 ,40,40.5,45
3,1,16-QAM ,1/2 ,40,54,60
4,1,16-QAM ,3/4 ,40,81,90
5,1,64-QAM ,2/3 ,40,108,120
6,1,64-QAM ,3/4 ,40,121.5,135
7,1,64-QAM ,5/6 ,40,135,150
8,2,BPSK ,1/2 ,40,27,30
9,2,QPSK ,1/2 ,40,54,60
10,2,QPSK ,3/4 ,40,81,90
11,2,16-QAM ,1/2 ,40,108,120
12,2,16-QAM ,3/4 ,40,162,180
13,2,64-QAM ,2/3 ,40,216,240
14,2,64-QAM ,3/4 ,40,243,270
15,2,64-QAM ,5/6 ,40,270,300
16,3,BPSK ,1/2 ,40,40.5,45
17,3,QPSK ,1/2 ,40,81,90
18,3,QPSK ,3/4 ,40,121.5,135
19,3,16-QAM ,1/2 ,40,162,180
20,3,16-QAM ,3/4 ,40,243,270
21,3,64-QAM ,2/3 ,40,324,360
22,3,64-QAM ,3/4 ,40,364.5,405
23,3,64-QAM ,5/6 ,40,405,450
24,4,BPSK ,1/2 ,40,54,60
25,4,QPSK ,1/2 ,40,108,120
26,4,QPSK ,3/4 ,40,162,180
27,4,16-QAM ,1/2 ,40,216,240
28,4,16-QAM ,3/4 ,40,324,360
29,4,64-QAM ,2/3 ,40,432,480
30,4,64-QAM ,3/4 ,40,486,540
31,4,64-QAM ,5/6 ,40,540,600
32,1,BPSK ,1/4 ,40,6,6.7
